feature,id,X,Y
C,521,33477410.49,3061951.376
C,522,33478000.52,3061808.433
E,523,33484157.54,3062071.646
E,524,33481071.51,3062150.934
E,525,33479934.2,3061985.754
E,526,33480321.72,3062222.861
E,527,33487986.11,3061934.256
D,528,33482354.56,3062058.113
C,529,33478134.52,3062169.72
F,530,33479233.31,3062137.227
E,531,33475874.29,3062487.718
D,532,33485730.26,3062524.615
E,533,33487215.12,3062357.049
D,534,33486301.38,3062224.602
C,535,33478423.7,3062509.38
E,536,33483583.37,3062254.347
D,537,33482534.59,3062407.046
E,538,33484266.64,3062710.24
E,539,33479736.86,3062720.711
E,540,33481402.65,3062738.32
D,541,33488322.58,3062523.951
E,542,33480670.92,3062661.753
F,543,33479397.35,3062555.649
E,544,33476452.92,3062784.823
E,545,33484751.65,3062193.4
C,546,33478831.7,3063022.862
C,547,33478675.45,3062781.433
E,548,33480093.03,3062865.942
D,549,33485010.32,3062900.395
D,550,33485568.65,3063078.4
D,551,33481670.48,3062542.372
E,552,33484076.16,3063062.787
D,553,33487755.58,3062934.429
D,554,33482590.15,3062906.61
F,555,33479532.04,3063226.22
E,556,33476754.93,3063108.261
E,557,33481244.58,3063205.483
F,558,33480435.99,3063275.073
D,559,33487106.57,3063088.844
C,560,33479502.17,3063564.457
D,561,33486924.97,3063466.806
D,562,33486279.21,3063466.147
E,563,33478260.98,3063756.184
C,564,33478988.63,3063497.59
F,565,33480049.41,3063703.31
E,566,33481574.97,3063697.35
E,567,33477152.96,3063468.477
E,568,33477571.76,3063324.824
E,569,33478712.18,3063927.348
E,570,33480986.79,3063827.499
E,571,33477850.37,3063680.687
D,572,33484593.91,3063966.511
D,573,33482874.03,3063368.83
E,574,33483964.77,3064125.865
E,575,33484165.38,3063874.747
D,576,33483390.41,3063856.136
E,577,33479829.55,3064049.014
D,578,33486716.05,3063980.87
E,579,33477840.47,3064217.223
D,580,33482563.03,3064262.591
E,581,33480268.82,3064157.306
D,582,33481787.74,3064168.661
E,583,33481266.71,3064294.209
E,584,33478125.7,3064381.747
D,585,33485881.99,3064001.617
D,586,33484833.28,3064474.503
E,587,33479305.92,3064423.731
E,588,33480388.92,3064520.158
D,589,33483100.39,3064572.826
E,590,33478709.22,3064382.191
E,591,33478765.05,3064738.2
E,592,33478981.66,3064664.412
E,593,33479435.96,3064855.606
D,594,33483753.25,3064785.563
E,595,33480847.83,3064764.2
D,596,33481385.49,3064819.354
E,597,33478113.52,3064789.673
D,598,33482885.73,3064968.187
D,599,33482118.09,3064776.321
E,600,33480836.91,3065210.507
E,601,33480212.01,3065028.999
E,602,33479609.84,3065229.234
E,603,33478572.67,3065196.065
E,604,33478987.64,3065337.912
D,605,33483223.4,3065439.84
E,606,33482665.99,3065318.925
D,607,33483773.31,3065246.289
D,608,33482402.34,3065616.401
E,609,33482026.5,3065326.489
D,610,33478006.3,3065238.167
E,611,33479746.51,3065555.558
E,612,33480409.89,3065483.074
J,613,33484596.67,3065502.194
E,615,33479537,3065871.487
E,616,33481533.42,3065536.4
D,617,33478600.53,3065778.207
D,618,33478881.18,3065918.072
E,619,33479786.03,3065997.433
D,620,33484096.1,3065684.057
D,621,33484993.86,3064717.716
E,622,33479467.17,3066234.497
E,623,33480873.18,3065896.487
E,624,33481534.83,3066168.635
F,625,33479971.77,3066212.435
D,626,33482496.96,3065912.471
E,627,33483204.25,3065972.71
D,628,33479264.59,3066256.793
E,629,33481596.83,3066544.986
D,630,33482158.61,3066736.373
D,631,33483746.98,3066467.753
F,632,33480677.44,3066512.527
D,633,33479783.5,3066748.553
F,634,33480246.24,3066639.004
E,635,33481834.51,3066945.357
F,636,33480812.81,3066905.41
D,637,33480835.58,3066460.136
E,638,33482040.8,3067201.807
F,639,33481225.17,3067133.985
D,640,33482630.44,3067247.063
D,641,33482826.56,3066799.37
D,642,33482947.55,3067267.038
D,643,33483410.33,3066983.581
E,644,33480899.36,3067425.554
E,645,33482153.23,3067632.321
D,646,33482990.17,3067653.156
D,647,33480593.31,3067725.685
E,648,33482100.35,3068121.147
E,649,33481267.4,3068010.646
E,650,33481669.46,3067903.287
D,651,33483004.14,3068133.904
D,652,33482947.98,3068544.621
D,653,33480889.43,3068596.367
D,654,33482550.7,3068770.551
D,655,33481339,3068964.98
D,656,33482025.11,3068967.292
D,657,33483756.91,3065944.73
G,658,33478728.19,3059659.772
B,659,33478435.48,3059450.901
C,660,33482648.83,3045498.642
C,661,33482741.71,3046044.682
C,662,33481246.15,3046367.11
C,663,33482512.23,3046331.942
B,664,33482112.25,3046390.051
C,665,33480751.25,3046533.978
C,666,33481206.59,3046773.799
C,667,33480646.14,3046761.404
C,668,33481764.25,3046805.563
A,669,33482959.53,3046895.461
C,670,33482234.03,3046868.047
C,671,33480480.51,3047003.653
H,672,33483179.01,3047140.9
C,673,33482749.47,3047151.909
E,674,33489096.71,3043623.764
E,675,33488740.09,3043455.975
E,676,33488342.54,3043758.776
E,677,33487603.8,3044208.009
E,678,33489063.09,3044088.435
C,679,33475712.11,3044304.698
C,680,33476405.94,3044295.824
E,681,33489293.77,3044466.314
E,682,33475291.14,3044597.682
F,683,33488004.72,3044309.093
I,684,33477246.9,3044795.387
E,685,33476059.51,3044596.744
C,686,33485050.89,3044905.063
E,687,33489552.16,3045062.024
C,688,33477247.22,3044686.24
C,689,33476692.94,3044794.473
E,690,33486927.5,3044814.712
B,691,33484692.33,3044877.624
E,692,33488572.66,3044723.185
C,693,33477687.86,3044937.079
C,694,33488029.07,3044806.658
E,695,33470447.79,3045010.989
C,696,33481574.19,3045054.727
C,697,33483072.69,3045091.683
C,698,33483632.59,3045042.973
F,699,33486459.53,3045079.651
B,700,33478401.02,3044940.448
E,701,33474488.6,3044909.487
C,702,33476163.75,3045113.415
B,703,33479225.25,3045083.94
I,704,33478043.72,3045017.038
C,705,33487583.59,3045056.459
E,706,33475130.31,3045006.929
C,707,33477275.72,3045242.038
E,708,33473745.5,3045028.641
E,709,33473010.28,3045251.741
I,710,33480558.68,3045158.965
C,711,33485913.02,3045091.012
C,712,33481118.1,3045176.211
E,713,33471332.06,3045230.489
E,714,33472188.15,3045336.564
D,715,33489832.74,3044894.841
F,716,33489224.7,3045312.691
C,717,33485398.21,3045351.313
C,718,33479571.98,3045266.454
C,719,33482279.26,3045299.545
C,720,33478735.62,3045373.431
E,721,33469696.36,3045321.186
C,722,33483946.21,3045285.033
F,723,33488665.78,3045384.863
B,724,33484157.66,3045242.892
C,725,33480051.09,3045498.953
C,726,33486880.52,3045425.718
E,727,33474581.57,3045456.021
C,728,33486266.17,3045536.998
C,729,33483503.46,3045487.586
C,730,33477286.08,3045631.107
E,731,33470635.48,3045516.846
E,732,33473756.54,3045606.23
E,733,33471824.68,3045724.238
C,734,33480563.33,3045586.172
C,735,33481904.34,3045453.762
E,736,33473016.94,3045690.543
C,737,33477987.79,3045566.982
C,738,33483161.35,3045636.808
C,739,33476650.65,3045563.116
D,740,33474385.65,3045777.616
C,741,33488064.29,3045618.999
E,742,33476038.74,3045685.645
E,743,33475547.04,3045475.937
C,744,33480941.01,3045683.676
C,745,33487258.6,3045552.186
C,746,33486624.25,3045785.602
C,748,33481425.94,3045695.622
C,749,33488592.93,3045932.748
C,750,33478697.64,3045887.487
B,751,33485639.82,3045779.889
D,753,33470927.4,3046024.008
C,754,33479394.51,3045869.916
D,755,33471385.39,3046055.035
I,756,33480670.78,3046039.812
A,757,33486588.48,3046063.557
A,758,33486106.4,3046041.265
C,759,33488358.15,3046147.811
E,760,33475206.95,3045881.336
C,761,33487563.92,3045785.219
E,762,33473907.34,3046084.429
C,763,33480091.88,3046011.206
A,764,33483749.72,3045978.953
C,765,33484143.64,3045995.324
C,766,33486941.69,3046074.135
E,767,33489073.5,3046022.44
C,768,33483426.94,3046192.893
F,769,33476858.72,3046172.017
I,770,33484832.97,3046191.99
E,771,33489585.52,3046044.184
E,772,33476327.7,3046320.086
D,773,33489986.58,3045975.256
C,774,33485586.68,3046360.713
C,775,33486236.96,3046323.411
C,776,33477740.98,3046102.91
E,777,33475774.12,3046215.441
C,778,33477322.4,3046174.67
C,779,33487169.29,3046393.904
C,780,33487705.72,3046360.978
C,781,33479763.41,3046345.566
D,782,33473647.44,3046403.093
E,783,33473300.27,3046525.395
E,784,33472487,3046263.085
E,785,33472156.56,3046357.475
C,786,33484209.95,3046509.353
C,787,33479218.17,3046408.99
D,788,33470774.84,3046437.64
E,789,33471809.97,3046365.497
D,790,33474419,3046347.516
H,791,33483892.27,3046687.261
C,792,33483413.07,3046553.366
C,793,33487926.28,3046680.19
E,794,33474019.73,3046633.073
E,795,33471264.03,3046636.11
C,796,33477993.91,3046445.6
E,797,33472863.04,3046341.998
B,798,33485142.26,3046756.867
F,799,33488578.39,3046640.413
E,800,33489689.86,3046692.017
E,801,33473126.95,3046387.996
C,802,33480198.91,3046772.475
F,803,33476973.61,3046730.898
C,804,33488328.2,3046935.153
C,805,33483332.64,3046751.597
E,806,33475773.74,3046721.035
I,807,33487070.48,3046883.407
F,808,33478796.59,3046762.106
B,809,33484087.03,3046980.905
E,810,33489093.31,3046888.692
E,811,33478104.57,3046889.383
E,812,33475353.12,3046775.289
E,813,33478561.42,3046568.9
E,814,33476516.12,3046900.475
E,815,33473177.02,3046960.995
C,816,33479587.21,3047014.433
B,817,33485904.97,3046912.34
F,818,33477406.39,3047117.84
D,819,33472042.96,3046980.745
E,820,33474911.12,3046659.088
I,821,33481188.29,3047126.22
E,822,33490106.41,3047114.508
I,823,33486338.23,3046898.207
F,824,33479008,3047127.105
E,825,33473674.72,3047025.71
E,826,33474027.34,3047071.307
B,827,33485600.7,3047054.946
C,828,33483708.31,3047233.737
D,829,33472525.15,3047120.944
D,830,33490327.39,3046722.16
D,831,33471636.66,3047283.238
D,832,33471410.73,3047099.3
C,833,33481369.04,3047276.92
I,834,33480682.75,3047295.276
C,835,33484451.92,3046986.435
C,836,33487849.45,3047199.483
D,837,33471095.24,3047382.463
C,838,33482610.68,3047382.304
I,839,33481755.59,3047397.932
A,840,33480136.9,3047276.644
C,841,33482151.62,3047454.363
E,842,33474557.5,3047154.422
C,843,33483079.14,3047447.949
B,844,33485021.59,3047381.474
I,845,33486495.49,3047349.882
D,846,33470593.64,3047074.738
E,847,33473601.42,3047451.266
E,848,33475498.75,3047462.606
E,849,33489155.4,3047466.965
E,850,33476043.15,3047342.925
E,851,33475049.35,3047556.016
D,852,33470616.46,3047436.901
E,853,33472686.72,3047467.605
I,854,33481057.31,3047612.947
E,855,33476592.61,3047508.946
C,856,33479382.4,3047535.271
E,857,33477216.25,3047611.374
C,858,33482534.75,3047719.884
C,859,33488652,3047426.034
E,860,33489845.42,3047693.875
I,861,33486248.14,3047686.85
C,862,33479952.47,3047698.879
I,863,33481294.3,3047819.93
F,864,33477694.95,3047572.38
E,865,33478103.12,3047666.25
E,866,33472383.79,3047582.999
C,867,33483712.72,3047700.843
C,868,33484307.45,3047990.645
E,869,33478592.79,3047663.185
E,870,33472453.97,3047879.883
D,871,33471824.03,3047773.766
D,872,33470984.77,3047829.587
E,873,33473198.4,3047565.961
C,874,33486942.79,3047565.684
A,875,33485240.45,3047886.057
F,876,33473621.9,3047922.343
E,877,33474169.18,3047681.76
C,878,33487353.26,3047749.371
E,879,33471905.57,3048025.844
